,attributes.Good For.latenight,attributes.Outdoor Seating,attributes.Alcohol,attributes.Parking.lot,business_id,attributes.Good For.brunch,categories,attributes.Waiter Service,name,attributes.Parking.street,attributes.Price Range,attributes.Good For.breakfast,attributes.Parking.garage,review_count,state,attributes.Accepts Credit Cards,attributes.Good For.lunch,attributes.Parking.valet,attributes.Take-out,full_address,attributes.Good For.dessert,attributes.Takes Reservations,attributes.Delivery,open,city,stars,type,latitude,attributes.Good For.dinner,longitude,attributes.Good for Kids,attributes.Parking.validated,attributes.Attire,attributes.Good For Groups,neighborhoods
0,,False,none,True,x5Mv61CnZLohZWxfCVCPTQ,,"['Sandwiches', 'Pizza', 'Chicken Wings', 'Restaurants']",False,Domino's Pizza,False,2.0,,False,16,AZ,True,,False,True,"2819 N Central Ave
Phoenix, AZ 85004",,False,True,True,Phoenix,2.5,business,33.4794817,,-112.0736806,False,False,casual,False,[]
1,,,,,2ZnCITVa0abGce4gZ6RhIw,,"['American (New)', 'Sandwiches', 'Restaurants']",,Viad Tower Restaurants,,1.0,,,6,AZ,True,,,True,"1850 N Central Ave
Phoenix, AZ 85004",,False,False,True,Phoenix,3.5,business,33.4685474,,-112.0750849,True,,,True,[]
2,False,True,full_bar,False,EmzaQR5hQlF0WIl24NxAZA,False,"['American (New)', 'Nightlife', 'Dance Clubs', 'Restaurants']",False,Sky Lounge,False,1.0,False,True,25,AZ,True,False,False,False,"132 E Washington St
Phoenix, AZ 85004",False,True,False,True,Phoenix,2.5,business,33.4483992,False,-112.0717019,False,False,casual,True,[]
3,False,True,full_bar,True,KPoTixdjoJxSqRSEApSAGg,False,"['Thai', 'Restaurants']",True,Wild Thaiger,False,2.0,False,False,432,AZ,True,True,False,True,"2631 N Central Ave
Phoenix, AZ 85004",False,True,False,True,Phoenix,3.5,business,33.477939,True,-112.073417,True,False,casual,True,[]
4,False,True,full_bar,False,e5kc0CQ4R-PCCDgb274gSg,False,"['Cafes', 'Mexican', 'Tex-Mex', 'Restaurants']",True,Canyon Cafe,False,2.0,False,True,238,AZ,True,False,False,True,"455 N 3rd St
Ste 114
Phoenix, AZ 85004",False,True,False,True,Phoenix,3.5,business,33.4521542,True,-112.0686202,True,False,casual,True,[]
5,False,True,full_bar,False,gBcpDl0quCLABsg5OuSFww,True,"['Food', 'Tea Rooms', 'Breakfast & Brunch', 'Sandwiches', 'Restaurants']",True,Teeter House Tea Room,False,2.0,False,True,12,AZ,True,True,False,True,"622 E Adams St
Phoenix, AZ 85004",False,True,False,False,Phoenix,3.5,business,33.4492979,False,-112.0655423,True,True,casual,True,[]
6,False,,none,,72N6TdH5MdUWE2YhYRbyxw,False,"['Burgers', 'Restaurants']",False,Burger King,,3.0,False,,12,AZ,True,False,,True,"2530 N Central Ave
Phoenix, AZ 85004",False,False,False,True,Phoenix,2.5,business,33.47626,False,-112.074248,True,,casual,False,[]
7,False,False,,,eOgUKCy5-sK-leqIBiNokg,False,"['Cafes', 'Restaurants']",False,Copper Square Cafe,,1.0,False,,3,AZ,True,False,,True,"2 N Central Ave
Phoenix, AZ 85004",False,False,True,False,Phoenix,3.0,business,33.4484911,False,-112.0744277,True,,casual,True,[]
8,False,False,none,False,neGAQFkBNI8-rpPBLBzNkw,False,"['Fast Food', 'Mexican', 'Tex-Mex', 'Restaurants']",False,Taco Bell,False,1.0,False,False,10,AZ,True,True,False,True,"301 East McDowell Road
Phoenix, AZ 85004",False,False,False,True,Phoenix,4.0,business,33.46544,False,-112.06909,True,False,casual,True,[]
9,False,True,full_bar,False,45puCRQ6Vh_IIAy7kkfFDQ,False,"['Bars', 'Restaurants', 'American (Traditional)', 'Sports Bars', 'Nightlife']",True,Majerle's Sports Grill,True,2.0,False,True,205,AZ,True,True,False,True,"24 N 2nd St
Phoenix, AZ 85004",False,True,False,True,Phoenix,3.5,business,33.4484654,False,-112.0712574,False,False,casual,True,[]
10,True,True,full_bar,False,nc3IiY5LNdmEwUZCW84yuA,False,"['Pizza', 'Restaurants']",True,Pizzeria Uno,False,2.0,False,True,18,AZ,True,True,False,True,"455 N 3rd St
Phoenix, AZ 85004",False,False,False,False,Phoenix,2.5,business,33.4521542,True,-112.0686202,True,True,casual,True,[]
11,False,False,none,True,P7wKlbSRsoRrfH3DFOY08A,False,"['Breakfast & Brunch', 'Restaurants']",True,International House of Pancakes,False,1.0,True,False,57,AZ,True,False,False,True,"2508 N Central Ave
Phoenix, AZ 85004",False,False,False,True,Phoenix,3.0,business,33.475583,False,-112.074115,True,False,casual,True,[]
12,False,False,full_bar,True,BESmH-lmMm34_EefL8X9fQ,False,"['Mexican', 'Restaurants']",True,Comedor Guadalajara,False,2.0,False,False,265,AZ,True,True,False,True,"1830 S Central Ave
Phoenix, AZ 85004",False,False,False,True,Phoenix,4.0,business,33.429424,False,-112.073929,True,False,casual,True,[]
13,False,True,beer_and_wine,True,D09yG6Z3gcsh24Qn7Y4gYA,False,"['Mexican', 'Restaurants']",False,Chico's Tacos,False,1.0,False,False,89,AZ,True,True,False,True,"530 E McDowell Rd
Ste 103
Phoenix, AZ 85004",False,False,False,True,Phoenix,3.0,business,33.4657117,False,-112.0657286,True,False,casual,True,[]
14,False,True,none,True,kaIue7GRCmkPzDeHDBTttQ,False,"['Sushi Bars', 'Japanese', 'Restaurants']",False,Phoenix Blue Fin,False,1.0,False,False,172,AZ,True,True,False,True,"1401 N Central Ave
Phoenix, AZ 85004",False,False,False,True,Phoenix,4.0,business,33.4640982988,False,-112.073569,True,False,casual,False,[]
15,False,True,full_bar,False,j8nyAaN_w5t6wYv-ni23sg,False,"['Nightlife', 'Bars', 'American (New)', 'Sports Bars', 'Restaurants']",True,Coach & Willies,True,2.0,False,False,73,AZ,True,True,False,True,"412 S 3rd St
Phoenix, AZ 85004",False,False,False,False,Phoenix,3.0,business,33.443909,True,-112.070122,False,False,casual,True,[]
16,False,True,none,False,5XIvwfbIa-vuFEkkeCQ6kQ,False,"['Bars', 'American (New)', 'Restaurants', 'Sports Bars', 'Nightlife']",True,Jackson's On 3rd,False,2.0,False,False,9,AZ,True,False,False,True,"245 E Jackson St
Phoenix, AZ 85004",False,False,False,False,Phoenix,2.0,business,33.4450359,False,-112.0706266,False,False,casual,True,[]
17,True,True,full_bar,False,VsO_rhXi5lgbaGxNwoEZsQ,False,"['Asian Fusion', 'Chinese', 'Restaurants']",True,Fate 905,True,2.0,False,False,90,AZ,True,False,False,True,"905 N 4th St
Phoenix, AZ 85004",False,True,False,False,Phoenix,3.0,business,33.4579128,True,-112.0686777,False,False,casual,False,[]
18,False,True,full_bar,False,Y293fHh5SZ0_9BZm4M6BCg,False,"['Greek', 'Mexican', 'Restaurants']",True,Matador Restaurant,True,2.0,False,True,57,AZ,True,True,False,True,"125 E Adams St
Phoenix, AZ 85004",False,True,True,False,Phoenix,3.0,business,33.4493093,True,-112.07194,True,True,casual,True,[]
